id,client_id,name,total_amount,paid_amount,remaining_amount,phone,status,pharmacy_id
1,CIN-C665211,Khadija Tazi,1087.43,670.91,416.52,+212 0677086657,PENDING,435
2,CIN-A584829,Saddik Naciri,990.78,591.64,399.14,+212 0797767380,PENDING,326
3,CIN-C824788,Reda Berrada,181.59,147.99,33.6,+212 0637339347,PENDING,96
4,CIN-D103167,Nadia Skalli,2323.83,1670.59,653.24,+212 0757073854,PENDING,369
5,CIN-B937725,Mehdi Berrada,472.98,460.23,12.75,+212 0633058789,PENDING,521
6,CIN-B622365,Siham Mansouri,1360.69,20.49,1340.2,+212 0695576930,PENDING,33
7,CIN-C754996,Omar Bennani,1152.73,843.7,309.03,+212 0662315434,PENDING,81
8,CIN-C968982,Saddik El Amrani,1451.11,714.04,737.07,+212 0786711724,PENDING,387
9,CIN-C111362,Meryem Bennani,675.06,136.39,538.67,+212 0694162672,PENDING,518
10,CIN-A809798,Ilham El Amrani,1556.45,255.18,1301.27,+212 0632156670,PENDING,79
11,CIN-A257128,Khadija El Amrani,1325.95,157.48,1168.47,+212 0759992071,PENDING,177
12,CIN-D349479,Houda Tahiri,289.05,30.24,258.81,+212 0705034611,PENDING,303
13,CIN-B456793,Karim Benjelloun,315.75,308.34,7.41,+212 0765545123,PENDING,373
14,CIN-B637427,Zineb Mansouri,1508.82,626.21,882.61,+212 0656630363,PENDING,422
15,CIN-A694184,Soufiane El Amrani,1815.96,924.27,891.69,+212 0674435250,PENDING,90
16,CIN-B377602,Karim Skalli,1091.73,252.19,839.54,+212 0666967781,PENDING,67
17,CIN-A698464,Karim Bennani,841.45,287.92,553.53,+212 0786491535,PENDING,18
18,CIN-C767923,Meryem Mansouri,1704.77,334.71,1370.06,+212 0684063929,PENDING,414
19,CIN-D903128,Mehdi Berrada,973.58,759.06,214.52,+212 0710049912,PENDING,287
20,CIN-A735099,Reda Chraibi,2450.2,577.08,1873.12,+212 0709819205,PENDING,98
21,CIN-D478857,Hassan Tahiri,2485.17,2134.32,350.85,+212 0636259328,PENDING,502
22,CIN-B350596,Siham Mansouri,1892.29,226.55,1665.74,+212 0791283006,PENDING,545
23,CIN-A815113,Siham Chraibi,370.42,78.47,291.95,+212 0716791776,PENDING,448
24,CIN-B867195,Omar Benjelloun,118.89,73.73,45.16,+212 0729233591,PENDING,215
25,CIN-C853657,Meryem Alaoui,967.3,79.63,887.67,+212 0762872450,PENDING,29
26,CIN-A662207,Saddik Naciri,1478.83,153.1,1325.73,+212 0716828982,PENDING,132
27,CIN-D994723,Siham Bennani,796.54,307.6,488.94,+212 0663629703,PENDING,292
28,CIN-D683231,Saddik Alaoui,1645.26,1145.79,499.47,+212 0623224263,PENDING,220
29,CIN-D464035,Siham El Idrissi,1042.58,777.89,264.69,+212 0714528784,PENDING,8
30,CIN-C800164,Omar Skalli,766.06,356.67,409.39,+212 0743441057,PENDING,35
31,CIN-C862177,Meryem Alaoui,1028.1,330.78,697.32,+212 0693244483,PENDING,384
32,CIN-A880024,Meryem El Idrissi,384.88,365.85,19.03,+212 0689775472,PENDING,330
33,CIN-B791408,Nadia Tazi,1705.13,47.04,1658.09,+212 0650162204,PENDING,460
34,CIN-C280247,Zineb Daoudi,1164.5,145.46,1019.04,+212 0724849261,PENDING,532
35,CIN-A859763,Hassan El Amrani,2191.6,1500.92,690.68,+212 0768208082,PENDING,486
36,CIN-C904578,Reda Daoudi,1639.28,1399.45,239.83,+212 0620925210,PENDING,148
37,CIN-A275663,Karim Skalli,569.27,196.69,372.58,+212 0630279299,PENDING,323
38,CIN-B449132,Siham Berrada,308.59,4.77,303.82,+212 0798257998,PENDING,257
39,CIN-A344294,Youssef Alaoui,2328.08,393.07,1935.01,+212 0624080770,PENDING,493
40,CIN-C961760,Khadija Kabbaj,1953.27,203.37,1749.9,+212 0706852460,PENDING,166
41,CIN-D823120,Soufiane Benjelloun,2392.98,119.61,2273.37,+212 0712286600,PENDING,297
42,CIN-D360156,Khadija Kabbaj,1486.83,1365.4,121.43,+212 0715903648,PENDING,483
43,CIN-B382143,Amine Kabbaj,402.0,138.25,263.75,+212 0625996848,PENDING,235
44,CIN-C942214,Saddik Daoudi,1776.76,1751.56,25.2,+212 0771542959,PENDING,497
45,CIN-C297820,Saddik Naciri,296.13,172.21,123.92,+212 0700719103,PENDING,225
46,CIN-C436104,Meryem Tahiri,1063.87,237.0,826.87,+212 0617234051,PENDING,546
47,CIN-A459503,Nadia Tazi,2409.5,2243.08,166.42,+212 0614387061,PENDING,312
48,CIN-C223304,Khadija Benjelloun,449.86,405.57,44.29,+212 0794919265,PENDING,488
49,CIN-A901649,Othmane Tazi,592.69,233.47,359.22,+212 0781431374,PENDING,1
50,CIN-B266631,Youssef Benjelloun,1779.87,1008.87,771.0,+212 0606382244,PENDING,394
51,CIN-A463179,Soufiane Benjelloun,933.6,247.88,685.72,+212 0697855179,PENDING,292
52,CIN-A397407,Houda Kabbaj,2194.03,879.16,1314.87,+212 0634594893,PENDING,280
53,CIN-B297349,Omar El Amrani,218.58,10.2,208.38,+212 0669569819,PENDING,196
54,CIN-A787321,Siham Tazi,305.82,143.93,161.89,+212 0740307505,PENDING,441
55,CIN-A118516,Youssef Tazi,767.41,395.9,371.51,+212 0710917965,PENDING,334
56,CIN-B722801,Amine Daoudi,1552.74,1288.24,264.5,+212 0753749455,PENDING,193
57,CIN-D642334,Nadia Tazi,304.23,110.84,193.39,+212 0749347812,PENDING,527
58,CIN-A614357,Houda Bennani,1856.99,13.42,1843.57,+212 0732019703,PENDING,538
59,CIN-B873561,Fatima Alaoui,389.6,287.75,101.85,+212 0655881191,PENDING,451
60,CIN-D591044,Meryem Bennani,1212.07,119.39,1092.68,+212 0680784424,PENDING,446
61,CIN-B455057,Amine El Amrani,1979.66,1576.73,402.93,+212 0725976571,PENDING,263
62,CIN-A986108,Zineb Kabbaj,815.82,285.59,530.23,+212 0795196149,PENDING,69
63,CIN-B968488,Karim El Amrani,2467.26,1626.55,840.71,+212 0654449625,PENDING,113
64,CIN-B987986,Saddik Bennani,1110.41,273.34,837.07,+212 0690766675,PENDING,263
65,CIN-A207445,Hassan Benjelloun,1646.23,299.18,1347.05,+212 0779970658,PENDING,135
66,CIN-A696451,Ilham Skalli,765.89,579.86,186.03,+212 0663509680,PENDING,143
67,CIN-D759803,Nadia Tazi,2480.31,1139.75,1340.56,+212 0639352601,PENDING,459
68,CIN-D986319,Soufiane Daoudi,516.16,215.06,301.1,+212 0632613542,PENDING,6
69,CIN-C970325,Houda Berrada,297.36,293.58,3.78,+212 0632002530,PENDING,409
70,CIN-B439472,Saddik Benjelloun,1230.51,380.07,850.44,+212 0733115648,PENDING,425
71,CIN-C690046,Houda Skalli,526.49,442.45,84.04,+212 0731848336,PENDING,155
72,CIN-A317571,Nadia Chraibi,365.82,54.91,310.91,+212 0787166393,PENDING,136
73,CIN-D375625,Houda Mansouri,486.36,211.1,275.26,+212 0670182155,PENDING,90
74,CIN-D702977,Meryem Benjelloun,2254.48,2137.07,117.41,+212 0618833401,PENDING,75
75,CIN-D573237,Soufiane Naciri,1522.94,463.15,1059.79,+212 0776696253,PENDING,106
