id,username,email,password,role,status,pharmacy_id,created_at
1,reda_kabbaj_1,reda.kabbaj1@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,ACTIVE,319,2026-09-13T10:49:54
2,reda_tahiri_2,reda.tahiri2@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,PENDING,198,2024-01-08T08:29:03
3,meryem_mansouri_3,meryem.mansouri3@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,DISABLED,378,2025-09-13T18:59:07
4,amine_alaoui_4,amine.alaoui4@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,SUSPENDED,457,2024-08-19T16:22:22
5,siham_bennani_5,siham.bennani5@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,ACTIVE,292,2024-07-02T10:54:36
6,mehdi_bennani_6,mehdi.bennani6@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,PENDING,212,2025-11-14T16:01:55
7,amine_skalli_7,amine.skalli7@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,PENDING,9,2024-05-20T20:19:45
8,karim_tazi_8,karim.tazi8@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,STAFF,DISABLED,471,2025-04-15T12:43:33
9,othmane_tahiri_9,othmane.tahiri9@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,ACTIVE,524,2026-06-18T18:38:38
10,zineb_chraibi_10,zineb.chraibi10@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,SUSPENDED,66,2025-05-21T13:55:17
11,karim_naciri_11,karim.naciri11@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,PENDING,154,2026-04-02T20:54:51
12,othmane_naciri_12,othmane.naciri12@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,PENDING,27,2026-08-10T12:58:26
13,othmane_tazi_13,othmane.tazi13@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,PENDING,352,2026-12-08T18:34:40
14,ilham_naciri_14,ilham.naciri14@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,DISABLED,175,2026-09-06T12:06:30
15,fatima_mansouri_15,fatima.mansouri15@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,PENDING,344,2026-02-08T13:14:47
16,zineb_tazi_16,zineb.tazi16@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,DISABLED,267,2026-05-15T09:30:03
17,omar_skalli_17,omar.skalli17@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,ACTIVE,391,2026-05-14T08:55:54
18,fatima_berrada_18,fatima.berrada18@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,DISABLED,420,2026-08-05T13:55:45
19,siham_kabbaj_19,siham.kabbaj19@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,SUSPENDED,341,2026-03-11T18:03:00
20,saddik_chraibi_20,saddik.chraibi20@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,PENDING,163,2025-02-05T17:27:40
21,nadia_tazi_21,nadia.tazi21@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,STAFF,SUSPENDED,393,2024-01-18T11:46:23
22,amine_el idrissi_22,amine.el idrissi22@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,ACTIVE,5,2026-12-08T11:44:56
23,meryem_chraibi_23,meryem.chraibi23@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,ACTIVE,393,2026-10-10T10:04:52
24,youssef_chraibi_24,youssef.chraibi24@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,SUSPENDED,533,2026-09-11T14:56:43
25,fatima_el idrissi_25,fatima.el idrissi25@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,STAFF,DISABLED,193,2024-07-01T11:14:46
26,fatima_alaoui_26,fatima.alaoui26@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,PENDING,127,2025-12-21T20:02:24
27,karim_kabbaj_27,karim.kabbaj27@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,ACTIVE,111,2026-01-02T19:07:26
28,saddik_tazi_28,saddik.tazi28@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,DISABLED,486,2026-03-07T19:43:40
29,amine_chraibi_29,amine.chraibi29@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,STAFF,ACTIVE,533,2025-10-20T19:08:26
30,khadija_daoudi_30,khadija.daoudi30@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,DISABLED,117,2024-08-07T17:12:49
31,karim_bennani_31,karim.bennani31@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,DISABLED,420,2025-03-02T16:31:58
32,mehdi_mansouri_32,mehdi.mansouri32@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,STAFF,DISABLED,241,2024-01-22T09:58:07
33,ilham_berrada_33,ilham.berrada33@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,ACTIVE,104,2025-11-08T15:18:16
34,saddik_el amrani_34,saddik.el amrani34@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,PENDING,41,2025-06-26T18:20:27
35,khadija_benjelloun_35,khadija.benjelloun35@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,PHARMACIST,ACTIVE,142,2026-11-06T13:22:57
36,saddik_tahiri_36,saddik.tahiri36@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,ACTIVE,382,2025-03-04T14:25:29
37,karim_bennani_37,karim.bennani37@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,STAFF,SUSPENDED,432,2026-03-04T10:44:46
38,youssef_bennani_38,youssef.bennani38@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,ACTIVE,427,2026-08-26T17:43:28
39,siham_tahiri_39,siham.tahiri39@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,STAFF,DISABLED,30,2026-12-05T15:58:31
40,khadija_tazi_40,khadija.tazi40@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,STAFF,ACTIVE,65,2025-11-11T08:45:55
41,reda_kabbaj_41,reda.kabbaj41@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,OWNER,DISABLED,532,2026-12-23T17:06:27
42,hassan_skalli_42,hassan.skalli42@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,ADMIN,SUSPENDED,153,2026-10-02T08:41:59
43,siham_daoudi_43,siham.daoudi43@gmail.com,$2a$10$e8M1.A2m.0hZ4pS2gXv2d.7O3m5L.q2s9sXyZ.aK9x.1e8Z,STAFF,SUSPENDED,170,2024-08-11T11:21:17
